"Bar","Baz","Dt Test","Fobe","Foo","enabled"
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
Jackson,20,,,twenty,
row,456,2018-10-07T05:00:00.000Z,,second,false
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
row,456,2018-10-07T05:00:00.000Z,,second,false
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
row,123,2018-10-07,,first,true
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
row,456,2018-10-07T05:00:00.000Z,,second,false
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
row,123,2018-10-07,,first,true
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
Jackson,20,,,twenty,
,,,,sixth,false
row,123,2018-10-07,,first,true
row,123,2018-10-07,,first,true
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
Jackson,20,,,twenty,
Jackson,20,,,twenty,
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
row,456,2018-10-07T05:00:00.000Z,,second,false
,,,,sixth,false
row,456,2018-10-07T05:00:00.000Z,,second,false
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
,,,,sixth,false
Jackson,20,,,twenty,
Jackson,20,,,twenty,
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
row,456,2018-10-07T05:00:00.000Z,,second,false
row,123,2018-10-07,,first,true
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
row your boat,789,2018-10-18T05:00:00.000Z,,third,true
,,,,sixth,false
,,,,sixth,false
Washington,1,,,one,
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
row,123,2018-10-07,,first,true
Hamilton,10,,,ten,
row,456,2018-10-07T05:00:00.000Z,,second,false
big data,0,2018-10-10T19:13:30.000Z,,seventh,false
 boat ,0,2018-10-10T14:13:30.500Z,,fourth,false
downstream,-12,2018-10-18T05:00:00.000Z,,fifth,true
Jackson,20,,,twenty,
,,,,sixth,false
bigger data,12,2018-10-10T05:00:00.000Z,,eighth,false
